ladefense,Building,longitude,latitude,Location,Surface area(m²),Offices(m²),Shops(m²),height,function,Delivery,zone,node
,Europe,48.89110165,2.245964063,"33, Place des Corolles - 92400 Courbevoie",30161,27691,2470,110,Office,2011,Place des Corolles,esplande nord
,Aurore,48.89014587,2.247345612,"18, Place des Reflets - 92 400 Courbevoie",38 855,32779,1 595,100,Office,1970,Place des Reflets,esplande nord
,Saint Gobain,48.88948957,2.249256331,La Défense / North Esplanade / Iris,48 948,,,165,Office,2020,Place de lIris,esplande nord
,CB21,48.88887468,2.249909194,"Esplanade Nord, quartier Iris (Courbevoie)",78 000 ,,,188,Office,2021,Place de lIris,esplande nord
,D2,48.89051424,2.247879812,17 bis Place des Reflets - 924,54530,49000,,175,Office,2015,Place des Reflets,esplande nord
,CB16-CG1,48.890551,2.247167971,"17, Place des Reflets - 92400 Courbevoie",28000,,,110,Office,2006,Place des Reflets,esplande nord
,CBX,48.89115082,2.246569758,"1, Passerelle des Reflets - 92400",43000,,,140,Office,2005,Place des Reflets,esplande nord
,Manhattan,48.88997939,2.248511716,"5-6, Place de l'Iris - 92400 Courbevoie",80100,,,110,Office,1975,Place de lIris,esplande nord
,Cœur Défense,48.89099217,2.244225403,"100-110, esplanade du Général de Gaulle - 92400 Courbevoie","214,700 ",185000,,180,Office,2001,Place des Corolles,esplande nord
,Europlaza,48.89155415,2.245115914,"20, Avenue André-Prothin - 92400",45000,,,107,Office,1999,Place des Corolles,esplande nord
,Euronext,48.89064687,2.246738002," 7, Terrasse des Reflets - 92400",10000,,,35,Office,2009,Place des Reflets,esplande nord
,Blanche,48.8906567,2.246038843,"34, place des Corolles - 92 400",28500,,,100,Office,2014,Place des Corolles,esplande nord
,Manhattan Square,48.88978887,2.248526063,40-42 terrasse de l'Iris 92400 Courbevoie,,,,38,Hotel,1976,Place de lIris,esplande nord
,Meliá Paris La Défense,48.8885475,2.250572641,"3 Boulevard de Neuilly, 92400 Courbevoie",,,,38,Hotel,1976,Place des Corolles,esplande nord
,Vision 80,48.88950814,2.246546066,"1-2-3-4-5, Place des Reflets - 92400",,,,47,Residence,1973,Place des Reflets,esplande nord
,Lorraine (Résidence),48.88949576,2.252420157,"11-37, Square des Corolles - 92400",,,,17,Residence,1969,Place des Corolles,esplande nord
